Data;Cliente;Categoria; Importo fattura; Spese di spedizione;;Esercizio 3;;;;;;;;;;;;;;
4/1/2000;Ferguson and Bardell;Abbigliamento; € 50.000,00 ; € 16,00 ;;Categoria;N. Fatture Emesse;;;;;;;;;;;;;
9/1/2000;Chateau St. Mark;Abbigliamento; € 29.970,00 ; € 29,00 ;;Abbigliamento;11;;;;;;;;;;;;;
12/1/2000;H&B;Svago; € 27.560,00 ; € 21,00 ;;Alimentari;5;;;;;;;;;;;;;
18/1/2000;Fletcher's for Children;Attrezzatura; € 43.500,00 ; € 29,00 ;;Personale;4;;;;;;;;;;;;;
20/1/2000;Barber Shop;Personale; € 13.500,00 ; € 15,00 ;;Hardware;4;;;;;;;;;;;;;
22/1/2000;Allstate;Assicurazione; € 50.800,00 ; € 22,00 ;;;;;;;;;;;;;;;;
23/1/2000;Canon USA;Ufficio; € 98.450,00 ; € 21,00 ;;Esercizio 4;;;;;;;;;;;;;;
26/1/2000;H&B;Svago; € 45.890,00 ; € 18,00 ;;Cliente;N. Fatture Emesse;;;;;;;;;;;;;
27/1/2000;America Online;Posta elettronica; € 7.950,00 ; € 23,00 ;;H&B;2;;;;;;;;;;;;;
28/1/2000;Deluxe Business Forms;Ufficio; € 87.450,00 ; € 24,00 ;;Allstate;1;;;;;;;;;;;;;
29/1/2000;Agora Publishing;Manuali; € 295.000,00 ; € 27,00 ;;Canon USA;1;;;;;;;;;;;;;
30/1/2000;Fletcher's for Children;Mobili; € 348.980,00 ; € 15,00 ;;America Online;1;;;;;;;;;;;;;
2/2/2000;Furrow Building Materials;Educazione dei figli; € 127.490,00 ; € 17,00 ;;Biobottoms;4;;;;;;;;;;;;;
2/2/2000;Chinaberry Book;Svago; € 49.400,00 ; € 13,00 ;;Epcot Center;2;;;;;;;;;;;;;
17/2/2000;Alaska Airlines;Viaggio d'affari; € 201.000,00 ; € 14,00 ;;Biergarten;1;;;;;;;;;;;;;
17/2/2000;American Airlines;Viaggio d'affari; € 1.368.000,00 ; € 28,00 ;;;;;;;;;;;;;;;;
20/2/2000;DeFrisco's;Ristorante; € 36.850,00 ; € 16,00 ;;Esercizio 5;;;;;;;;;;;;;;
24/2/2000;Biobottoms;Abbigliamento; € 151.500,00 ; € 13,00 ;;Categoria;Totale Fatturato;;;;;;;;;;;;;
4/3/2000;Barber Shop;Personale; € 13.500,00 ; € 20,00 ;;Abbigliamento;611.780 €;;;;;;;;;;;;;
8/3/2000;Airport City Taxi;Viaggio d'affari: trasporto; € 17.000,00 ; € 18,00 ;;Alimentari;30.860 €;;;;;;;;;;;;;
9/3/2000;Epcot Center;Svago; € 35.900,00 ; € 16,00 ;;Personale;54.000 €;;;;;;;;;;;;;
9/3/2000;Biergarten;Viaggio d'affari: pasti; € 27.270,00 ; € 14,00 ;;Hardware;6.765.600 €;;;;;;;;;;;;;
9/3/2000;Dolphin Hotel;Viaggio d'affari: pasti; € 13.400,00 ; € 14,00 ;;;;;;;;;;;;;;;;
10/3/2000;Biobottoms;Abbigliamento; € 19.000,00 ; € 17,00 ;;Esercizio 6;;;;;;;;;;;;;;
10/3/2000;Epcot Center;Svago; € 71.800,00 ; € 18,00 ;;Cliente;Totale Fatturato;;;;;;;;;;;;;
10/3/2000;Dolphin Hotel;Viaggio d'affari: pasti; € 12.280,00 ; € 14,00 ;;H&B;73.450 €;;;;;;;;;;;;;
10/3/2000;Dolphin Hotel;Viaggio d'affari: pasti; € 14.670,00 ; € 17,00 ;;Allstate;50.800 €;;;;;;;;;;;;;
11/3/2000;After the Stork;Abbigliamento; € 163.500,00 ; € 18,00 ;;Canon USA;98.450 €;;;;;;;;;;;;;
11/3/2000;DAK Industries;Mobili; € 183.900,00 ; € 26,00 ;;America Online;7.950 €;;;;;;;;;;;;;
11/3/2000;Chambers;Regali; € 43.500,00 ; € 16,00 ;;Biobottoms;283.000 €;;;;;;;;;;;;;
11/3/2000;Cap n Jacks;Viaggio d'affari: pasti; € 10.730,00 ; € 17,00 ;;Epcot Center;107.700 €;;;;;;;;;;;;;
11/3/2000;Dallas Airport;Viaggio d'affari: pasti; € 11.210,00 ; € 25,00 ;;Biergarten;27.270 €;;;;;;;;;;;;;
11/3/2000;Avis;Viaggio d'affari: trasporto; € 127.950,00 ; € 20,00 ;;;;;;;;;;;;;;;;
12/3/2000;Annual fee;Operazioni bancarie; € 20.000,00 ; € 23,00 ;;;;;;;;;;;;;;;;
12/3/2000;Concession Air, Portland Airport;Viaggio d'affari: pasti; € 7.850,00 ; € 25,00 ;;;;;;;;;;;;;;;;
13/3/2000;Furrow Building Materials;Educazione dei figli; € 127.490,00 ; € 21,00 ;;;;;;;;;;;;;;;;
13/3/2000;Bagels;Ristorante; € 3.950,00 ; € 17,00 ;;;;;;;;;;;;;;;;
13/3/2000;Ferguson and Bardell;Salute; € 50.000,00 ; € 15,00 ;;;;;;;;;;;;;;;;
15/3/2000;Childcraft Catalog;Giocattoli e libri; € 16.650,00 ; € 24,00 ;;;;;;;;;;;;;;;;
18/3/2000;Chinaberry Book;Svago; € 87.300,00 ; € 18,00 ;;;;;;;;;;;;;;;;
19/3/2000;Gateway 2000;Hardware; € 2.425.000,00 ; € 11,00 ;;;;;;;;;;;;;;;;
23/3/2000;Brights Creek;Abbigliamento; € 18.230,00 ; € 21,00 ;;;;;;;;;;;;;;;;
24/3/2000;Avis;Viaggio d'affari: trasporto; € 78.530,00 ; € 25,00 ;;;;;;;;;;;;;;;;
24/3/2000;Classic Cab Company;Viaggio d'affari: trasporto; € 21.000,00 ; € 18,00 ;;;;;;;;;;;;;;;;
27/3/2000;David Kay;Abitazione; € 34.900,00 ; € 16,00 ;;;;;;;;;;;;;;;;
29/3/2000;Bagels;Ristorante; € 8.000,00 ; € 22,00 ;;;;;;;;;;;;;;;;
29/3/2000;Evergreen Photo;Svago; € 24.660,00 ; € 27,00 ;;;;;;;;;;;;;;;;
31/3/2000;Gardeners Eden;Abitazione; € 22.450,00 ; € 18,00 ;;;;;;;;;;;;;;;;
6/4/2000;Gardeners Eden;Abitazione; € 44.950,00 ; € 20,00 ;;;;;;;;;;;;;;;;
8/4/2000;Elco Computers;Hardware; € 55.600,00 ; € 11,00 ;;;;;;;;;;;;;;;;
13/4/2000;DeLorme Publishing;Software ufficio; € 84.500,00 ; € 21,00 ;;;;;;;;;;;;;;;;
16/4/2000;After the Stork;Abbigliamento; € 51.800,00 ; € 21,00 ;;;;;;;;;;;;;;;;
16/4/2000;Biobottoms;Abbigliamento; € 31.000,00 ; € 16,00 ;;;;;;;;;;;;;;;;
21/4/2000;Biobottoms;Abbigliamento; € 81.500,00 ; € 25,00 ;;;;;;;;;;;;;;;;
21/4/2000;DAK Industries;Mobili; € 183.900,00 ; € 18,00 ;;;;;;;;;;;;;;;;
21/4/2000;Barber Shop;Personale; € 13.500,00 ; € 18,00 ;;;;;;;;;;;;;;;;
22/4/2000;Food Value;Alimentari; € 2.010,00 ; € 21,00 ;;;;;;;;;;;;;;;;
24/4/2000;Friendship House;Abitazione; € 36.300,00 ; € 23,00 ;;;;;;;;;;;;;;;;
26/4/2000;Brights Creek;Abbigliamento; € 7.640,00 ; € 20,00 ;;;;;;;;;;;;;;;;
28/4/2000;Airport City Taxi;Viaggio d'affari: trasporto; € 18.000,00 ; € 21,00 ;;;;;;;;;;;;;;;;
29/4/2000;Food Value;Alimentari; € 8.730,00 ; € 18,00 ;;;;;;;;;;;;;;;;
29/4/2000;Airport City Taxi;Viaggio d'affari: trasporto; € 19.000,00 ; € 12,00 ;;;;;;;;;;;;;;;;
3/5/2000;Gateway 2000;Hardware; € 2.425.000,00 ; € 21,00 ;;;;;;;;;;;;;;;;
5/5/2000;Gateway 2000;Hardware; € 1.860.000,00 ; € 19,00 ;;;;;;;;;;;;;;;;
6/5/2000;Great Harvest Bakery;Alimentari; € 6.570,00 ; € 13,00 ;;;;;;;;;;;;;;;;
7/5/2000;GG&G;Benzina; € 14.000,00 ; € 16,00 ;;;;;;;;;;;;;;;;
19/5/2000;Best Products;Attrezzatura; € 29.980,00 ; € 19,00 ;;;;;;;;;;;;;;;;
20/5/2000;Cato Institute;Svago; € 17.950,00 ; € 17,00 ;;;;;;;;;;;;;;;;
20/5/2000;Evergreen Photo;Svago; € 32.320,00 ; € 20,00 ;;;;;;;;;;;;;;;;
21/5/2000;Baker's Pharmacy;Salute; € 27.350,00 ; € 19,00 ;;;;;;;;;;;;;;;;
26/5/2000;GG&G;Benzina; € 15.000,00 ; € 20,00 ;;;;;;;;;;;;;;;;
4/6/2000;Barber Shop;Personale; € 13.500,00 ; € 21,00 ;;;;;;;;;;;;;;;;
5/6/2000;Great Harvest Bakery;Alimentari; € 8.600,00 ; € 22,00 ;;;;;;;;;;;;;;;;
8/6/2000;Fletcher's for Children;Attrezzatura; € 15.980,00 ; € 14,00 ;;;;;;;;;;;;;;;;
9/6/2000;Brights Creek;Abbigliamento; € 7.640,00 ; € 22,00 ;;;;;;;;;;;;;;;;
20/6/2000;Bridgewater Restaurant, Florence;Ristorante; € 40.650,00 ; € 17,00 ;;;;;;;;;;;;;;;;
23/6/2000;H & B Recordings;Svago; € 50.280,00 ; € 20,00 ;;;;;;;;;;;;;;;;
23/6/2000;H & B Recordings;Svago; € 1.050,00 ; € 21,00 ;;;;;;;;;;;;;;;;
28/6/2000;Flower Market;Alimentari; € 4.950,00 ; € 28,00 ;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
